old_sewershed,wwtp,VDH_Dist,VHASS_Reg,sewershed
Roanoke,Roanoke Regional Water Pollution Control,Alleghany,Near SW,Roanoke
Roanoke,Roanoke Regional Water Pollution Control,New River,Near SW,Roanoke
Roanoke,Roanoke Regional Water Pollution Control,Roanoke City,Near SW,Roanoke
Roanoke,Roanoke Regional Water Pollution Control,Central Virginia,Near SW,Roanoke
PeppersFerry,Pepper's Ferry Regional Wastewater Treat,New River,Near SW,Pepper's Ferry
Blacksburg,Blacksburg-VPI Sanitation Authority,New River,Near SW,Blacksburg
Christiansburg,Town of Christiansburg Wastewater Treatm,New River,Near SW,Christiansburg
HRSD_YR,HRSD: York River,Peninsula,Eastern,HRSD_YR
HRSD_YR,HRSD: York River,Three Rivers,Eastern,HRSD_YR
HRSD_YR,HRSD: York River,Hampton,Eastern,HRSD_YR
HRSD_WB,HRSD: Williamsburg,Peninsula,Eastern,Williamsburg
HRSD_WB,HRSD: Williamsburg,Chikahominy,Central,Williamsburg
HRSD_JR,HRSD: James River,Peninsula,Eastern,HRSD_JR
HRSD_JR,HRSD: James River,Hampton,Eastern,HRSD_JR
LittleFallsRun,Little Falls Run Wastewater Treatment Fa,Rappahannock,Northern,Little Falls Run
Aquia,Aquia Wastewater Treatment Plant,Rappahannock,Northern,Aquia
Aquia,Aquia Wastewater Treatment Plant,Prince William,Northern,Aquia
Mooney,H.L. Mooney Advanced Water Reclamation F,Rappahannock,Northern,HL Mooney
Mooney,H.L. Mooney Advanced Water Reclamation F,Prince William,Northern,HL Mooney
Mooney,H.L. Mooney Advanced Water Reclamation F,Fairfax,Northern,HL Mooney
Henrico,Henrico Water Reclamation Facility,Chikahominy,Central,Henrico
Henrico,Henrico Water Reclamation Facility,Richmond,Central,Henrico
Henrico,Henrico Water Reclamation Facility,Henrico,Central,Henrico
Henrico,Henrico Water Reclamation Facility,Chesterfield,Central,Henrico
Lebanon,Town of Lebanon Wastewater Treatment Pla,Cumberland,Far SW,Lebanon
ARenew,Alexandria Renew Enterprises,Alexandria,Northern,Alexandria Renew
ARenew,Alexandria Renew Enterprises,Fairfax,Northern,Alexandria Renew
ARenew,Alexandria Renew Enterprises,Arlington,Northern,Alexandria Renew
MooresCreek,Moores Creek Advanced Water Resource Rec,Thomas Jefferson,Northwest,Moores Creek
Lynchburg,Lynchburg Water Resource Recovery Facili,Central Virginia,Near SW,Lynchburg
RutledgeCreek,Rutledge Creek Wastewater Treatment Plan,Central Virginia,Near SW,RutledgeCreek
