st_date,count_of_cli_visits
2020-03-01,5758
2020-03-08,7063
2020-03-15,7675
2020-03-22,5769
2020-03-29,4578
2020-04-05,4144
2020-04-12,3800
2020-04-19,4744
2020-04-26,5583
2020-05-03,6583
2020-05-10,7238
2020-05-17,8508
2020-05-24,8551
2020-05-31,7946
2020-06-07,7485
2020-06-14,7760
2020-06-21,8208
2020-06-28,8871
2020-07-05,10572
2020-07-12,10817
2020-07-19,8203
2020-07-26,7698
2020-08-02,7187
2020-08-09,7191
2020-08-16,6853
2020-08-23,6912
2020-08-30,7585
2020-09-06,7873
2020-09-13,7936
2020-09-20,8091
2020-09-27,9250
2020-10-04,10063
2020-10-11,9370
2020-10-18,9917
2020-10-25,10272
2020-11-01,10953
2020-11-08,12713
2020-11-15,15483
2020-11-22,15142
2020-11-29,17377
2020-12-06,18629
2020-12-13,20830
2020-12-20,21983
2020-12-27,27036
2021-01-03,30677
2021-01-10,27031
2021-01-17,23443
2021-01-24,20995
2021-01-31,17844
2021-02-07,15736
2021-02-14,13759
2021-02-21,12304
2021-02-28,11224
2021-03-07,11027
2021-03-14,11203
2021-03-21,11845
2021-03-28,11643
2021-04-04,11211
2021-04-11,11194
2021-04-18,10282
2021-04-25,9853
2021-05-02,9213
2021-05-09,8553
2021-05-16,8401
2021-05-23,7995
2021-05-30,7758
2021-06-06,7624
2021-06-13,7733
2021-06-20,7546
2021-06-27,7578
2021-07-04,7826
2021-07-11,8477
2021-07-18,10086
2021-07-25,13664
2021-08-01,18593
2021-08-08,22408
2021-08-15,26586
2021-08-22,29148
2021-08-29,25476
2021-09-05,26421
2021-09-12,26380
2021-09-19,23494
2021-09-26,21279
2021-10-03,19675
2021-10-10,16433
2021-10-17,14513
2021-10-24,13377
2021-10-31,13360
2021-11-07,14293
2021-11-14,15268
2021-11-21,14798
2021-11-28,19011
2021-12-05,20610
2021-12-12,23959
2021-12-19,33968
2021-12-26,58838
2022-01-02,51120
2022-01-09,40134
2022-01-16,26491
2022-01-23,20431
2022-01-30,14168
2022-02-06,11315
2022-02-13,9415
2022-02-20,8275
2022-02-27,7830
2022-03-06,7134
2022-03-13,7272
2022-03-20,7004
2022-03-27,7250
2022-04-03,7542
2022-04-10,7590
2022-04-17,8180
2022-04-24,9660
2022-05-01,11638
2022-05-08,14038
2022-05-15,15819
2022-05-22,15471
2022-05-29,16604
2022-06-05,15857
2022-06-12,14731
2022-06-19,14656
2022-06-26,14734
2022-07-03,15189
2022-07-10,15101
2022-07-17,16039
2022-07-24,16251
2022-07-31,15666
2022-08-07,15784
2022-08-14,15579
2022-08-21,15948
2022-08-28,15355
2022-09-04,14986
2022-09-11,14820
2022-09-18,15251
2022-09-25,14621
2022-10-02,14387
2022-10-09,15255
2022-10-16,16317
2022-10-23,19636
2022-10-30,21815
2022-11-06,20119
2022-11-13,18055
2022-11-20,18652
2022-11-27,20199
2022-12-04,18641
2022-12-11,18962
2022-12-18,19446
2022-12-25,21302
2023-01-01,20100
2023-01-08,15380
2023-01-15,14705
2023-01-22,14631
2023-01-29,14805
2023-02-05,15041
2023-02-12,13569
2023-02-19,12523
2023-02-26,11860
2023-03-05,11230
2023-03-12,11382
2023-03-19,11444
2023-03-26,10257
2023-04-02,9172
2023-04-09,8199
