,51
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,457.0
2020-07-19,419.0
2020-07-26,368.0
2020-08-02,397.0
2020-08-09,530.0
2020-08-16,421.0
2020-08-23,415.0
2020-08-30,511.0
2020-09-06,448.0
2020-09-13,445.0
2020-09-20,343.0
2020-09-27,433.0
2020-10-04,499.0
2020-10-11,493.0
2020-10-18,511.0
2020-10-25,570.0
2020-11-01,668.0
2020-11-08,791.0
2020-11-15,954.0
2020-11-22,1139.0
2020-11-29,1351.0
2020-12-06,1484.0
2020-12-13,1641.0
2020-12-20,1724.0
2020-12-27,1903.0
2021-01-03,2162.0
2021-01-10,2143.0
2021-01-17,1982.0
2021-01-24,1754.0
2021-01-31,1587.0
2021-02-07,1309.0
2021-02-14,1150.0
2021-02-21,1003.0
2021-02-28,919.0
2021-03-07,816.0
2021-03-14,803.0
2021-03-21,814.0
2021-03-28,799.0
2021-04-04,815.0
2021-04-11,824.0
2021-04-18,741.0
2021-04-25,587.0
2021-05-02,562.0
2021-05-09,444.0
2021-05-16,364.0
2021-05-23,340.0
2021-05-30,245.0
2021-06-06,208.0
2021-06-13,168.0
2021-06-20,183.0
2021-06-27,168.0
2021-07-04,184.0
2021-07-11,230.0
2021-07-18,335.0
2021-07-25,426.0
2021-08-01,622.0
2021-08-08,927.0
2021-08-15,1068.0
2021-08-22,1271.0
2021-08-29,1441.0
2021-09-05,1536.0
2021-09-12,1554.0
2021-09-19,1464.0
2021-09-26,1248.0
2021-10-03,1102.0
2021-10-10,1043.0
2021-10-17,829.0
2021-10-24,689.0
2021-10-31,618.0
2021-11-07,620.0
2021-11-14,588.0
2021-11-21,709.0
2021-11-28,880.0
2021-12-05,1100.0
2021-12-12,1100.0
2021-12-19,1337.0
2021-12-26,2427.0
2022-01-02,3369.0
2022-01-09,3267.0
2022-01-16,3085.0
2022-01-23,2586.0
2022-01-30,1986.0
2022-02-06,1495.0
2022-02-13,1105.0
2022-02-20,772.0
2022-02-27,513.0
2022-03-06,369.0
2022-03-13,321.0
2022-03-20,226.0
2022-03-27,233.0
2022-04-03,168.0
2022-04-10,178.0
2022-04-17,273.0
2022-04-24,230.0
2022-05-01,383.0
2022-05-08,443.0
2022-05-15,606.0
2022-05-22,601.0
2022-05-29,657.0
2022-06-05,713.0
2022-06-12,739.0
2022-06-19,664.0
2022-06-26,712.0
2022-07-03,769.0
2022-07-10,831.0
2022-07-17,873.0
2022-07-24,918.0
2022-07-31,919.0
2022-08-07,1000.0
2022-08-14,926.0
2022-08-21,839.0
2022-08-28,845.0
2022-09-04,774.0
2022-09-11,703.0
2022-09-18,585.0
2022-09-25,534.0
2022-10-02,591.0
2022-10-09,503.0
2022-10-16,453.0
2022-10-23,501.0
2022-10-30,564.0
2022-11-06,544.0
2022-11-13,452.0
2022-11-20,453.0
2022-11-27,619.0
2022-12-04,701.0
2022-12-11,879.0
2022-12-18,906.0
2022-12-25,1287.0
2023-01-01,1211.0
2023-01-08,977.0
2023-01-15,891.0
2023-01-22,748.0
2023-01-29,697.0
2023-02-05,667.0
2023-02-12,560.0
2023-02-19,447.0
2023-02-26,431.0
2023-03-05,365.0
2023-03-12,292.0
2023-03-19,234.0
2023-03-26,237.0
