location,date,lag,pcorr,pval
Alexandria Renew,2023-03-05 00:00:00,-2,0.7514605456972576,0.012212333648839953
Alexandria Renew,2023-02-26 00:00:00,-2,0.7518785058095516,0.007612869607304783
Alexandria Renew,2023-02-19 00:00:00,-2,0.5997441458331734,0.03926861763690738
Alexandria Renew,2023-02-12 00:00:00,,0,
Alexandria Renew,2023-02-05 00:00:00,,0,
Alexandria Renew,2023-01-29 00:00:00,,0,
Alexandria Renew,2023-01-22 00:00:00,,0,
Alexandria Renew,2023-01-15 00:00:00,,0,
Alexandria Renew,2023-01-08 00:00:00,,0,
Alexandria Renew,2023-01-01 00:00:00,,0,
Alexandria Renew,2022-12-25 00:00:00,,0,
Alexandria Renew,2022-12-18 00:00:00,-2,0.6435888377764553,0.023935835650328138
Alexandria Renew,2022-12-11 00:00:00,-2,0.6739592244958073,0.016249553421942575
Alexandria Renew,2022-12-04 00:00:00,-2,0.6782767767142257,0.01532671868305918
Alexandria Renew,2022-11-27 00:00:00,-2,0.6556502502509928,0.020622109783326684
Alexandria Renew,2022-11-20 00:00:00,,0,
Alexandria Renew,2022-11-13 00:00:00,,0,
Alexandria Renew,2022-11-06 00:00:00,,0,
Alexandria Renew,2022-10-30 00:00:00,,0,
Alexandria Renew,2022-10-23 00:00:00,,0,
Alexandria Renew,2022-10-16 00:00:00,-2,0.5913874291653168,0.042834957028483556
Alexandria Renew,2022-10-09 00:00:00,,0,
Alexandria Renew,2022-10-02 00:00:00,-2,0.6283388305456792,0.028658828848374018
Alexandria Renew,2022-09-25 00:00:00,,0,
Alexandria Renew,2022-09-18 00:00:00,-2,0.6414925573139735,0.024548925927132183
Alexandria Renew,2022-09-11 00:00:00,,0,
Alexandria Renew,2022-09-04 00:00:00,,0,
Alexandria Renew,2022-08-28 00:00:00,,0,
Alexandria Renew,2022-08-21 00:00:00,,0,
Alexandria Renew,2022-08-14 00:00:00,,0,
Alexandria Renew,2022-08-07 00:00:00,,0,
Alexandria Renew,2022-07-31 00:00:00,,0,
Alexandria Renew,2022-07-24 00:00:00,,0,
Alexandria Renew,2022-07-17 00:00:00,,0,
Alexandria Renew,2022-07-10 00:00:00,,0,
Alexandria Renew,2022-07-03 00:00:00,,0,
Alexandria Renew,2022-06-26 00:00:00,,0,
Alexandria Renew,2022-06-19 00:00:00,,0,
Alexandria Renew,2022-06-12 00:00:00,,0,
Alexandria Renew,2022-06-05 00:00:00,,0,
Alexandria Renew,2022-05-29 00:00:00,,0,
Alexandria Renew,2022-05-22 00:00:00,,0,
Alexandria Renew,2022-05-15 00:00:00,-2,0.6583747430705132,0.01992257502252628
Alexandria Renew,2022-05-08 00:00:00,-2,0.7426795168338091,0.0056584324964517405
Alexandria Renew,2022-05-01 00:00:00,-2,0.6615944239466058,0.019118431222455507
Alexandria Renew,2022-04-24 00:00:00,-2,0.6687112928655358,0.017425490241465915
Alexandria Renew,2022-04-17 00:00:00,-2,0.6723581952045316,0.016601923299415296
Alexandria Renew,2022-04-10 00:00:00,,0,
Alexandria Renew,2022-04-03 00:00:00,-2,0.6746651566102483,0.01609594471866567
Alexandria Renew,2022-03-27 00:00:00,-2,0.8743016263342848,0.00019937705971974346
