sewershed,EW_stdate,lag,pcorr,pval,best_lag,best_corr,best_pval
Parkins Mill,2023-05-07,-2,0.0,0.5496731444782601,,,
Parkins Mill,2023-05-07,-1,0.0,0.5538435394830695,,,
Parkins Mill,2023-05-07,0,0.0,0.941571991351104,,,
Parkins Mill,2023-05-07,1,0.0,0.820938834522775,,,
Parkins Mill,2023-05-07,2,0.0,0.9893933525406057,,,
Parkins Mill,2023-04-30,-2,0.0,0.42726724478859957,,,
Parkins Mill,2023-04-30,-1,0.0,0.5908977818045823,,,
Parkins Mill,2023-04-30,0,0.0,0.9469975714556127,,,
Parkins Mill,2023-04-30,1,0.0,0.8313373778990623,,,
Parkins Mill,2023-04-30,2,0.0,0.9047248643018937,,,
Parkins Mill,2023-04-23,-2,0.0,0.23518967116230466,,,
Parkins Mill,2023-04-23,-1,0.0,0.6202799923103801,,,
Parkins Mill,2023-04-23,0,0.0,0.6202799923103801,,,
Parkins Mill,2023-04-23,1,0.0,0.12827587280115232,,,
Parkins Mill,2023-04-23,2,0.0,0.08491152760422832,,,
Parkins Mill,2023-04-16,-2,0.0,0.41714143714253127,,,
Parkins Mill,2023-04-16,-1,0.0,0.8944269969053026,,,
Parkins Mill,2023-04-16,0,0.0,0.8525390725425217,,,
Parkins Mill,2023-04-16,1,0.0,0.20057021703405067,,,
Parkins Mill,2023-04-16,2,0.0,0.14199852020631992,,,
Parkins Mill,2023-04-09,-2,0.0,0.7092146257733047,,,
Parkins Mill,2023-04-09,-1,0.0,0.519248247554982,,,
Parkins Mill,2023-04-09,0,0.0,0.32589494101284167,,,
Parkins Mill,2023-04-09,1,0.0,0.6695786456420787,,,
Parkins Mill,2023-04-09,2,0.0,0.37008312228206786,,,
Parkins Mill,2023-04-02,-2,0.0,0.15090149929248603,2,0.0,0.01647097883651441
Parkins Mill,2023-04-02,-1,0.0,0.5926152128455,2,0.0,0.01647097883651441
Parkins Mill,2023-04-02,0,0.0,0.9576852410216187,2,0.0,0.01647097883651441
