sample_collect_date,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-28,2022-12-05,2022-12-12,2022-12-25,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-04,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28
2022-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,11.094950693498873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,11.112792508636462,11.190694573501338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,,,,,,,,,,,11.130634323774052,11.171065125388955,11.211815413952248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,,,,,,,,,,,11.16631795404923,11.131806229164187,11.148439173037525,11.135704873911985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,,,,,,,,,,,11.184159769186818,11.112176781051803,11.116751052580163,11.125708087622774,11.086515618420608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,,,,,,,,,,,,11.09254733293942,11.085062932122801,11.115711301333562,11.086552283873678,11.030467170153305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-25,,,,,,,,,,,,,11.02621356555913,11.097145841082169,11.08662037685795,11.071016721873212,11.06182020291909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,11.085720942465928,11.086662280232886,11.095970292162386,11.093089159878486,11.113731700327998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,11.086698945685956,11.117804666165414,11.120449497217958,11.133397166979915,11.080802658496037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,,,,,,,11.139639040168442,11.147809834557428,11.15306263363183,11.128535408659975,11.143051233934946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,,,,,11.1751701718969,11.172728100283747,11.176268158823913,11.184436851432096,11.193956300264512,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30,,,,,,,,,,,,,,,,,,11.192393566935664,11.22400090898785,11.225822468929248,11.219854093728337,11.243005170357774,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,,,,,11.271733659151788,11.267208086426399,11.245751887192162,11.253002397224536,11.308998924431076,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,,,,,,,,,,11.30859370392355,11.271649680655985,11.2629996240913,11.282692969234564,11.320937887796306,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20,,,,,,,,,,,,,,,,,,,,,11.29754747411981,11.272996850958062,11.25638701403805,11.27147958813753,11.312003084159768,,,,,,,,,,,,,,,,,,,,,,,
2023-02-27,,,,,,,,,,,,,,,,,,,,,,11.282994077824824,11.23008105884154,11.222021288478752,11.226371820473734,11.28665687076126,,,,,,,,,,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,11.203775103645027,11.172562988819976,11.140740556787698,11.169424561041913,11.189742213720757,,,,,,,,,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,11.123104689161199,11.055109293101664,11.052192251322566,11.062673704355475,11.093445554538398,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,10.96947802941563,10.934959941603218,10.935605194990192,10.945198586948065,10.9104946882729,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,10.817727631883871,10.80853668562491,10.796951619357731,10.790181822409119,10.792773575255415,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,10.681468176259628,10.648704651767396,10.669868956545338,10.672199718006253,10.67407226820112,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.500457684177062,10.549556090681557,10.551625860757088,10.542065874221953,10.516952549678372,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.429243224817776,10.431052003507926,10.410059480242786,10.405716272826561,10.394671660100267,,,,,,,,,,,,,,,
2023-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.310478146258761,10.278053086263618,10.29447999597475,10.314312494992585,10.20961899367994,,,,,,,,,,,,,,
2023-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.146046692284452,10.18324371912294,10.233953329884903,10.195503242748206,10.09373695097017,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07200744227113,10.153594164777221,10.18138749181647,10.128888145451532,10.138322067884513,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.073234999669541,10.167271740884734,10.164039339932895,10.15887699254089,10.161965121523565,,,,,,,,,,,
2023-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.153155989953,10.199190534414257,10.179431917197268,10.196162320292826,10.141498742241973,,,,,,,,,,
2023-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.234341728895618,10.199986841853645,10.230359519062088,10.22401496922714,10.13112579019659,,,,,,,,,
2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.220541766510024,10.264556717831349,10.306531196212307,10.27290924531754,10.236773974455021,,,,,,,,
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29875391660061,10.389047423197471,10.414692700438493,10.367912286407476,10.464207526204541,,,,,,,
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.471563650182638,10.556476155559444,10.499050598359933,10.526183759337766,10.647015262711433,,,,,,
2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.698259610680395,10.630188910312388,10.58815999247099,10.642103778853542,10.73997061302452,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.780061266829481,10.658989973194675,10.636490654444525,10.67789277917683,10.672698932785012,,,,
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.712112458737439,10.632280811137761,10.631334403791062,10.626449812884173,10.652318689908794,,,
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.627369327279872,10.577016299174334,10.572492506333193,10.57458033540638,10.622931394277936,,
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.522698194557604,10.518535199782214,10.496841980903962,10.514655723029776,10.517377746032631,
