sample_collect_date,2022-09-25,2022-10-02,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2023-01-08,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-06-04,2023-06-11,2023-06-25,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27
2022-09-25,,,11.499540162085005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-02,,,11.546527610542109,11.603306252503655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,,,11.640502507456317,11.795122064632718,11.664785919170816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23,,,,11.89102997069725,11.891383604875683,12.113012879376733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,,,,,12.117981290580548,11.869431282869831,11.905512883478817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,,,,,,11.62584968636293,11.829157226065341,11.776548296953836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13,,,,,,,11.752801568651867,11.415322746861065,11.519397580543604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-20,,,,,,,,11.054097196768295,11.573514102096327,10.983648184077422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,,,,,,,,,11.627630623649052,11.664453815348262,12.014362889702275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,,,,,,,,,,12.345259446619101,12.161660832531561,12.167083573487364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,,,,,,,,,,,12.308958775360846,12.31540144727031,12.34952276906482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,,,,,,,,,,,,12.463719321053254,12.408053067119058,12.562737576610726,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,12.583643961281771,12.335912822485591,12.530296807420752,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,,,,,,,,,,,,,,12.184696319735501,12.159037728725382,11.982819357540809,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,,,,,,,,,,,,,,,11.973408189377697,12.174225265161875,12.156334474270677,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-05,,,,,,,,,,,,,,,,12.36563117278294,12.213901890827804,12.466625230924464,,,,,,,,,,,,,,,,,,,,,,,
2023-02-12,,,,,,,,,,,,,,,,,12.271469307384931,12.10661720044093,12.16440635651199,,,,,,,,,,,,,,,,,,,,,,
2023-02-26,,,,,,,,,,,,,,,,,,11.386601139473859,11.367195418843359,11.202706383388719,,,,,,,,,,,,,,,,,,,,,
2023-03-05,,,,,,,,,,,,,,,,,,,10.968589950009044,11.297782023828537,10.975036529488854,,,,,,,,,,,,,,,,,,,,
2023-03-12,,,,,,,,,,,,,,,,,,,,11.392857664268357,11.544400040035821,11.68908141016083,,,,,,,,,,,,,,,,,,,
2023-03-19,,,,,,,,,,,,,,,,,,,,,12.113763550582787,11.844061553137527,12.178721289500503,,,,,,,,,,,,,,,,,,
2023-03-26,,,,,,,,,,,,,,,,,,,,,,11.999041696114224,11.72444484815378,11.667446221250758,,,,,,,,,,,,,,,,,
2023-04-02,,,,,,,,,,,,,,,,,,,,,,,11.270168406807057,11.59869962017101,11.292667443901916,,,,,,,,,,,,,,,,
2023-04-09,,,,,,,,,,,,,,,,,,,,,,,,11.529953019091261,11.541953571804564,11.752568902289926,,,,,,,,,,,,,,,
2023-04-16,,,,,,,,,,,,,,,,,,,,,,,,,11.79123969970721,11.652040109578977,11.631350876446902,,,,,,,,,,,,,,
2023-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,11.551511316868027,11.660673632903288,11.654314048559165,,,,,,,,,,,,,
2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,11.689996389359676,11.505080159109474,11.621398126690023,,,,,,,,,,,,
2023-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.355846269659784,11.499402379343215,11.319323323477338,,,,,,,,,,,
2023-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.377406631996406,11.33413455678074,11.290000114489102,,,,,,,,,,
2023-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.348945790084139,11.592896257719739,11.411276420273209,,,,,,,,,
2023-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.198688544181014,11.856015070561494,12.185347802935649,,,,,,,,
2023-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.078384395705637,11.962397877864749,11.711542076594151,,,,,,,
2023-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.516498027722948,11.707503719038511,11.746879418167884,,,,,,
2023-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.703465361482873,11.263176991418653,11.49560839274529,,,,,
2023-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.021325778044037,11.229423808190019,10.68752806787501,,,,
2023-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.963239223634748,11.230163034446356,11.30300872028081,,,
2023-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7727980010177,11.635154748040582,11.784950165642856,,
2023-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.967300775800355,11.870150760715589,11.998200062482873,
2023-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.955351355788322,11.743757364821015,11.871933267981618
2023-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.489314667159157,11.528101541005281
2023-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.184269814028942
