sample_collect_date,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-04,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,9.856872013123391,,,,,,,,,,,,,,,
2023-04-24,,,,,,,,,,,9.766864181484346,9.791274434245805,,,,,,,,,,,,,,
2023-05-01,,,,,,,,,,,9.6768563498453,9.678334404507602,9.715104445055685,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,9.586848518206256,9.565394374769397,9.5949263160318,9.550139469126691,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,9.49684068656721,9.452454345031194,9.474748187007918,9.472100103239084,9.38295346187137,,,,,,,,,,,
2023-05-22,,,,,,,,,,,,9.33951431529299,9.354570057984034,9.394060737351476,9.361357812265519,9.290114586355022,,,,,,,,,,
2023-05-29,,,,,,,,,,,,,9.234391928960152,9.316021371463869,9.33976216265967,9.300134212687976,9.323164837762038,,,,,,,,,
2023-06-05,,,,,,,,,,,,,,9.23798200557626,9.318166513053818,9.310153839020927,9.306908117988804,9.351156357686524,,,,,,,,
2023-06-12,,,,,,,,,,,,,,,9.296570863447968,9.32017346535388,9.29065139821557,9.31274566892529,9.31120079474286,,,,,,,
2023-06-19,,,,,,,,,,,,,,,,9.330193091686832,9.274394678442336,9.274334980164058,9.291997385154437,9.233704810561642,,,,,,
2023-06-26,,,,,,,,,,,,,,,,,9.258137958669101,9.235924291402824,9.272793975566014,9.255619313058343,9.201041516473701,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,9.192026361389988,9.250847221750673,9.28066445876886,9.241190682975642,9.248415928317401,,,,
2023-07-10,,,,,,,,,,,,,,,,,,,9.234387156389168,9.299448318051747,9.271302557852097,9.272763883027718,9.303443373753373,,,
2023-07-17,,,,,,,,,,,,,,,,,,,,9.321362820548448,9.306433078541296,9.301169830189755,9.3286154301189,9.274361239062213,,
2023-07-24,,,,,,,,,,,,,,,,,,,,,9.341563599230495,9.32957577735179,9.353787486484427,9.349508054188314,9.221037533252776,
2023-07-31,,,,,,,,,,,,,,,,,,,,,,9.357981724513827,9.378959542849955,9.424654869314416,9.375022672232793,9.328832621041311
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,9.404131599215482,9.49980168444052,9.529007811212812,9.497076848986573
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,9.574948499566622,9.68299295019283,9.665321076931837
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,9.836978089172849,9.8335653048771
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,10.001809532822364
