sample_collect_date,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-04,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,9.83560000164043,,,,,,,,,,,,,,,,,
2023-04-24,,,,,,,,,9.768842356037714,9.747718110748846,,,,,,,,,,,,,,,,
2023-05-01,,,,,,,,,9.702084710434999,9.68938549453765,9.728480723291536,,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,9.631052878326454,9.599385097902235,9.617589881950542,,,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,9.470289472512937,9.458120236510878,9.437546542166457,,,,,,,,,,,,,
2023-05-22,,,,,,,,,,,,9.298650591071214,9.34593166771588,9.287337667268739,,,,,,,,,,,,
2023-05-29,,,,,,,,,,,,,9.254316793265303,9.297516335214672,9.280795391225123,,,,,,,,,,,
2023-06-05,,,,,,,,,,,,,,9.307695003160605,9.313331807688106,9.32645899493563,,,,,,,,,,
2023-06-12,,,,,,,,,,,,,,,9.34586822415109,9.325061184590586,9.35825064867458,,,,,,,,,
2023-06-19,,,,,,,,,,,,,,,,9.323663374245543,9.285771337951033,9.293568771954485,,,,,,,,
2023-06-26,,,,,,,,,,,,,,,,,9.213292027227487,9.237716896267289,9.178745778849423,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,9.17388618119621,9.239389054338245,9.204887932212179,,,,,,
2023-07-10,,,,,,,,,,,,,,,,,,,9.284871510954861,9.287900886845538,9.337060500078941,,,,,
2023-07-17,,,,,,,,,,,,,,,,,,,,9.384749333917789,9.323509109758769,9.348409591469675,,,,
2023-07-24,,,,,,,,,,,,,,,,,,,,,9.309957719438597,9.335331541216812,9.278082630589939,,,
2023-07-31,,,,,,,,,,,,,,,,,,,,,,9.322253490963949,9.361103186950361,9.32881494199255,,
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,9.444123743310783,9.488249751880458,9.448665135734025,
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,9.647684561768365,9.670890021879694,9.692668443602036
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,9.893114908025364,9.842731760504451
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,9.992795077406866
