location,date,lag,pcorr,pval
Alexandria Renew,2023-03-05 00:00:00,-2,0.7454545454545454,0.013330146315440047
Alexandria Renew,2023-02-26 00:00:00,-2,0.6272727272727273,0.03884525362035334
Alexandria Renew,2023-02-19 00:00:00,,0,
Alexandria Renew,2023-02-12 00:00:00,,0,
Alexandria Renew,2023-02-05 00:00:00,,0,
Alexandria Renew,2023-01-29 00:00:00,,0,
Alexandria Renew,2023-01-22 00:00:00,,0,
Alexandria Renew,2023-01-15 00:00:00,,0,
Alexandria Renew,2023-01-08 00:00:00,,0,
Alexandria Renew,2023-01-01 00:00:00,,0,
Alexandria Renew,2022-12-25 00:00:00,,0,
Alexandria Renew,2022-12-18 00:00:00,-2,0.6013986013986015,0.03858845292201944
Alexandria Renew,2022-12-11 00:00:00,-2,0.6013986013986015,0.03858845292201944
Alexandria Renew,2022-12-04 00:00:00,,0,
Alexandria Renew,2022-11-27 00:00:00,-2,0.6783216783216784,0.0153173290532817
Alexandria Renew,2022-11-20 00:00:00,-2,0.6643356643356644,0.018452718028445437
Alexandria Renew,2022-11-13 00:00:00,-2,0.5874125874125874,0.044609296463363105
Alexandria Renew,2022-11-06 00:00:00,,0,
Alexandria Renew,2022-10-30 00:00:00,,0,
Alexandria Renew,2022-10-23 00:00:00,-2,0.6923076923076924,0.012593030496094107
Alexandria Renew,2022-10-16 00:00:00,-2,0.7692307692307694,0.0034464502618274493
Alexandria Renew,2022-10-09 00:00:00,-2,0.6643356643356644,0.018452718028445437
Alexandria Renew,2022-10-02 00:00:00,-2,0.7425580564386471,0.005670528788029263
Alexandria Renew,2022-09-25 00:00:00,-2,0.6444843508712786,0.023677347580348156
Alexandria Renew,2022-09-18 00:00:00,-2,0.651489615554662,0.021724735067411623
Alexandria Renew,2022-09-11 00:00:00,,0,
Alexandria Renew,2022-09-04 00:00:00,,0,
Alexandria Renew,2022-08-28 00:00:00,,0,
Alexandria Renew,2022-08-21 00:00:00,,0,
Alexandria Renew,2022-08-14 00:00:00,,0,
Alexandria Renew,2022-08-07 00:00:00,,0,
Alexandria Renew,2022-07-31 00:00:00,,0,
Alexandria Renew,2022-07-24 00:00:00,,0,
Alexandria Renew,2022-07-17 00:00:00,,0,
Alexandria Renew,2022-07-10 00:00:00,,0,
Alexandria Renew,2022-07-03 00:00:00,,0,
Alexandria Renew,2022-06-26 00:00:00,,0,
Alexandria Renew,2022-06-19 00:00:00,,0,
Alexandria Renew,2022-06-12 00:00:00,,0,
Alexandria Renew,2022-06-05 00:00:00,,0,
Alexandria Renew,2022-05-29 00:00:00,-2,0.6853146853146854,0.013905968814362752
Alexandria Renew,2022-05-22 00:00:00,-2,0.7762237762237763,0.0029928636801859797
Alexandria Renew,2022-05-15 00:00:00,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2022-05-08 00:00:00,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2022-05-01 00:00:00,-2,0.7272727272727274,0.007355028857805126
Alexandria Renew,2022-04-24 00:00:00,-2,0.7272727272727274,0.007355028857805126
Alexandria Renew,2022-04-17 00:00:00,-2,0.6853146853146854,0.013905968814362752
Alexandria Renew,2022-04-10 00:00:00,,0,
Alexandria Renew,2022-04-03 00:00:00,,0,
Alexandria Renew,2022-03-27 00:00:00,,0,
Alexandria Renew,2022-03-20 00:00:00,-2,0.6013986013986015,0.03858845292201944
Alexandria Renew,2022-03-13 00:00:00,-2,0.6643356643356644,0.018452718028445437
Alexandria Renew,2022-03-06 00:00:00,-2,0.7622377622377624,0.003950448972542651
Alexandria Renew,2022-02-27 00:00:00,-2,0.7972027972027973,0.0019003677255282703
Alexandria Renew,2022-02-20 00:00:00,-2,0.6853146853146854,0.013905968814362752
Alexandria Renew,2022-02-13 00:00:00,-2,0.6363636363636365,0.026096891052703127
Alexandria Renew,2022-02-06 00:00:00,-2,0.6363636363636365,0.026096891052703127
Alexandria Renew,2022-01-30 00:00:00,-2,0.6223776223776225,0.030675895061640132
Alexandria Renew,2022-01-23 00:00:00,-2,0.6223776223776225,0.030675895061640132
Alexandria Renew,2022-01-16 00:00:00,-2,0.6293706293706295,0.02831967129576002
Alexandria Renew,2022-01-09 00:00:00,-2,0.7062937062937064,0.010245193941127854
Alexandria Renew,2022-01-02 00:00:00,-2,0.8111888111888113,0.0013633152527271922
Alexandria Renew,2021-12-26 00:00:00,-2,0.7132867132867133,0.009201779777634755
Alexandria Renew,2021-12-19 00:00:00,-2,0.6713286713286714,0.016831456186893395
Alexandria Renew,2021-12-12 00:00:00,,0,
Alexandria Renew,2021-12-05 00:00:00,,0,
Alexandria Renew,2021-11-28 00:00:00,-2,0.6013986013986015,0.03858845292201944
Aquia,2023-03-05 00:00:00,,0,
Aquia,2023-02-26 00:00:00,,0,
Aquia,2023-02-19 00:00:00,,0,
Aquia,2023-02-12 00:00:00,,0,
Aquia,2023-02-05 00:00:00,,0,
Aquia,2023-01-29 00:00:00,,0,
Aquia,2023-01-22 00:00:00,,0,
Aquia,2023-01-15 00:00:00,,0,
Aquia,2023-01-08 00:00:00,,0,
Aquia,2023-01-01 00:00:00,-2,0.6293706293706295,0.02831967129576002
Aquia,2022-12-25 00:00:00,-2,0.7132867132867133,0.009201779777634755
Aquia,2022-12-18 00:00:00,-2,0.6923076923076924,0.012593030496094107
Aquia,2022-12-11 00:00:00,-2,0.6479869832129704,0.022685763799562983
Aquia,2022-12-04 00:00:00,-2,0.5849396010625192,0.045739074410112046
Aquia,2022-11-27 00:00:00,-2,0.5849396010625192,0.045739074410112046
Aquia,2022-11-20 00:00:00,,0,
Aquia,2022-11-13 00:00:00,,0,
Aquia,2022-11-06 00:00:00,,0,
Aquia,2022-10-30 00:00:00,-2,0.7600712181471057,0.004117380355680868
Aquia,2022-10-23 00:00:00,-2,0.704029100680038,0.010601234739609743
Aquia,2022-10-16 00:00:00,-2,0.704029100680038,0.010601234739609743
Aquia,2022-10-09 00:00:00,-2,0.6619975125797373,0.019019455833880407
Aquia,2022-10-02 00:00:00,,0,
Aquia,2022-09-25 00:00:00,,0,
Aquia,2022-09-18 00:00:00,,0,
Aquia,2022-09-11 00:00:00,,0,
Aquia,2022-09-04 00:00:00,,0,
Aquia,2022-08-28 00:00:00,,0,
Aquia,2022-08-21 00:00:00,,0,
Aquia,2022-08-14 00:00:00,,0,
Aquia,2022-08-07 00:00:00,,0,
Aquia,2022-07-31 00:00:00,,0,
Aquia,2022-07-24 00:00:00,,0,
Aquia,2022-07-17 00:00:00,,0,
Aquia,2022-07-10 00:00:00,,0,
Aquia,2022-07-03 00:00:00,,0,
Aquia,2022-06-26 00:00:00,,0,
Aquia,2022-06-19 00:00:00,,0,
Aquia,2022-06-12 00:00:00,-2,0.5849396010625192,0.045739074410112046
Aquia,2022-06-05 00:00:00,-2,0.7062937062937064,0.010245193941127854
Aquia,2022-05-29 00:00:00,-2,0.8181818181818183,0.0011431050868040604
Aquia,2022-05-22 00:00:00,-2,0.8461538461538463,0.000521133700481005
Aquia,2022-05-15 00:00:00,-2,0.8601398601398602,0.0003316683391269209
Aquia,2022-05-08 00:00:00,-2,0.8041958041958043,0.001614768986069931
Aquia,2022-05-01 00:00:00,-2,0.7272727272727274,0.007355028857805126
Aquia,2022-04-24 00:00:00,-2,0.6783216783216784,0.0153173290532817
Aquia,2022-04-17 00:00:00,-2,0.7622377622377624,0.003950448972542651
Aquia,2022-04-10 00:00:00,-2,0.5874125874125874,0.044609296463363105
Aquia,2022-04-03 00:00:00,-2,0.6923076923076924,0.012593030496094107
Aquia,2022-03-27 00:00:00,-2,0.7412587412587414,0.005801150474478243
Aquia,2022-03-20 00:00:00,-2,0.7363636363636363,0.009759535959916903
Aquia,2022-03-13 00:00:00,-2,0.8363636363636365,0.0013331850799508562
Aquia,2022-03-06 00:00:00,-2,0.8727272727272729,0.00045461505140964044
Aquia,2022-02-27 00:00:00,-2,0.7272727272727273,0.011204967253592057
Aquia,2022-02-20 00:00:00,-2,0.7000000000000001,0.01647097883651441
Aquia,2022-02-13 00:00:00,-2,0.7000000000000001,0.01647097883651441
Aquia,2022-02-06 00:00:00,-2,0.690909090909091,0.018565033381595004
Aquia,2022-01-30 00:00:00,-2,0.7000000000000001,0.01647097883651441
Aquia,2022-01-23 00:00:00,-2,0.7272727272727273,0.011204967253592057
Aquia,2022-01-16 00:00:00,-2,0.7727272727272727,0.005299487178643863
Aquia,2022-01-09 00:00:00,-2,0.6818181818181819,0.020842853610945056
Aquia,2022-01-02 00:00:00,-2,0.690909090909091,0.018565033381595004
Aquia,2021-12-26 00:00:00,-2,0.7622377622377624,0.003950448972542651
Aquia,2021-12-19 00:00:00,-2,0.7342657342657343,0.006543490146837885
Aquia,2021-12-12 00:00:00,-2,0.6363636363636365,0.026096891052703127
Aquia,2021-12-05 00:00:00,,0,
Aquia,2021-11-28 00:00:00,,0,
Blacksburg,2023-03-05 00:00:00,,0,
Blacksburg,2023-02-26 00:00:00,,0,
Blacksburg,2023-02-19 00:00:00,,0,
Blacksburg,2023-02-12 00:00:00,,0,
Blacksburg,2023-02-05 00:00:00,,0,
Blacksburg,2023-01-29 00:00:00,,0,
Blacksburg,2023-01-22 00:00:00,,0,
Blacksburg,2023-01-15 00:00:00,,0,
Blacksburg,2023-01-08 00:00:00,,0,
Blacksburg,2023-01-01 00:00:00,,0,
Blacksburg,2022-12-25 00:00:00,,0,
Blacksburg,2022-12-18 00:00:00,,0,
Blacksburg,2022-12-11 00:00:00,,0,
Blacksburg,2022-12-04 00:00:00,,0,
Blacksburg,2022-11-27 00:00:00,,0,
Blacksburg,2022-11-20 00:00:00,,0,
Blacksburg,2022-11-13 00:00:00,,0,
